Item,Qty,Reference(s),Value,comments,LibPart,Footprint,Datasheet,DNP
1,1,C1,10u,電解コンデンサ,Device:C_Polarized,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,~,
2,2,"C2, C4",22P,セラミックコンデンサ,Device:C,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~,
3,1,C3,0.1u,セラミックコンデンサ,Device:C,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~,
4,1,C5,470u,電解コンデンサ,Device:C_Polarized,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,~,
5,12,"C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17",0.1u,セラミックコンデンサ,Device:C_Small,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~,
6,1,C18,10u,電解コンデンサ,Device:C_Polarized_Small,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,~,
7,1,J1,RJ-2410N/Y,基板用RCAジャック(秋月電子),Connector:Conn_Coaxial,RCA:RCAConAE," ~",
8,1,J2,EXT_JP,L型ピンヘッダ,Connector_Generic:Conn_01x06,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Horizontal,~,
9,1,J3,SBC8080 BUS,ボックスヘッダ,Connector_Generic:Conn_02x20_Odd_Even,Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Horizontal,~,
10,2,"J4, J5",AD_JP,ピンヘッダ(2列),Connector_Generic:Conn_02x04_Odd_Even,Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical,~,
11,1,JP1,INT-J,ピンヘッダ(1列),Jumper:Jumper_3_Open,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~,
12,1,JP2,A7_JP,ピンヘッダ(1列),Jumper:Jumper_3_Open,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~,
13,1,L1,BL01RN1A1D2など,EMI除去フィルタなど,Device:L_Ferrite_Small,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,
14,4,"MH1, MH2, MH3, MH4",MountingHole,基板穴(部品ではない),Mechanical:MountingHole,MountingHole:MountingHole_3.2mm_M3,~,
15,1,Q1,2SC1815,トランジスタ,Transistor_BJT:2SC1815,Package_TO_SOT_THT:TO-92_Inline_Wide,https://media.digikey.com/pdf/Data%20Sheets/Toshiba%20PDFs/2SC1815.pdf,
16,1,R1,1k,抵抗器,Device:R_US,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,
17,1,R2,2k,抵抗器,Device:R_US,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,
18,1,R3,180,抵抗器,Device:R_US,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,
19,1,R4,0,抵抗器(導線で接続でOK),Device:R_US,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,
20,1,R5,470,抵抗器,Device:R_US,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,
21,1,U1,TMS9918A,ビデオIC,TMS9918A:TMS9918A,Package_DIP:DIP-40_W15.24mm_Socket,,
22,1,U2,74HCT32,ロジックIC,74xx:74LS32,Package_DIP:DIP-14_W7.62mm_Socket,http://www.ti.com/lit/gpn/sn74LS32,
23,8,"U3, U4, U7, U8, U9, U10, U11, U12",MB8118-16k-1bit-DRAM,DRAM,DRAM:MB8118-16k-1bit-DRAM,Package_DIP:DIP-16_W7.62mm_Socket,,
24,1,U5,74HCT04,ロジックIC,74xx:74LS04,Package_DIP:DIP-14_W7.62mm_Socket,http://www.ti.com/lit/gpn/sn74LS04,
25,1,U6,74HCT139,ロジックIC,74xx:74LS139,Package_DIP:DIP-16_W7.62mm_Socket,http://www.ti.com/lit/ds/symlink/sn74ls139a.pdf,
26,1,Y1,10.738635MHZ,水晶振動子,Device:Crystal_Small,Crystal:Crystal_HC49-U_Vertical,~,
